"GeoGuide";"Guides";"Geo-Guide";;"Geo-Guide"
"GeoGuide0116";"GeoGuide0066";"Industriegeologie";"lkl=vbu 000";"Industrial Geology"
"GeoGuide0117";"GeoGuide0066";"Nationales und internationales Recht in der Geologie";"lkl=vbv 000";"National and International Law in Geology"
"GeoGuide0118";"GeoGuide0066";"Forensische Geologie";"lkl=vbw 000";"Forensic geology"
"GeoGuide0067";"GeoGuide0008";"Regionale Geologie";"lkl=ve 000";"Geology - Regional"
"GeoGuide0068";"GeoGuide0008";"Historische Geologie und Paläogeographie";"lkl=vc 000";"Historical geology and paläogeography"
"GeoGuide0119";"GeoGuide0068";"Historische Geologie";"lkl=vca 000";"Earth history"
"GeoGuide0120";"GeoGuide0068";"Paläogeographie";"lkl=vcb 000";"Palaeogeography"
"GeoGuide0121";"GeoGuide0068";"Stratigraphie";"lkl=vd 000";"Stratigraphy"
"GeoGuide0069";"GeoGuide0008";"Palöontologie";"lkl=vu 000";"Palaeontology"
"GeoGuide0122";"GeoGuide0069";;"lkl=wuo 000";"Micropalaeontology (geomicrobiology)"
"GeoGuide0123";"GeoGuide0069";"Stratigraphische Paläontologie";"lkl=vw 000";"Stratigraphic Paleontology"
"GeoGuide0124";"GeoGuide0069";"Paläozoologie";"lkl=vx 000";"Paleozoology"
"GeoGuide0125";"GeoGuide0069";"Paläobotanik";"lkl=vy 000";"Palaeobotany"
"GeoGuide0126";"GeoGuide0069";"Regionale Paläontologie";"lkl=vz 000";"Regional Paleontology"
"GeoGuide0070";"GeoGuide0008";"Mineralogie";"lkl=vf 000";"Mineralogy"
"GeoGuide0128";"GeoGuide0070";"Anleitung zum Sammeln von Mineralien";"lkl=vfa 000";"Instructions for Collecting Minerals"
"GeoGuide0129";"GeoGuide0070";"Besondere Mineralfundstellen";"lkl=vfb 000";"Mineral Sites"
"GeoGuide0130";"GeoGuide0070";"Mineralogische Sammlungen";"lkl=vfc 000";"Mineral collections"
"GeoGuide0131";"GeoGuide0070";"Allgemeine Mineralogie und Kristallographie";"lkl=vg 000";"General mineralogy and crystallography"
"GeoGuide0132";"GeoGuide0070";"Kristallographie";"lkl=vga 000";"Crystallography"
"GeoGuide0133";"GeoGuide0070";"Mineralbestimmung, Mineraluntersuchung";"lkl=vgb 000";"Mineral Identification and Analysis"
"GeoGuide0134";"GeoGuide0070";"Mineralchemie";"lkl=vgc 000";"Mineral Chemistry"
"GeoGuide0135";"GeoGuide0070";"Mineralphysik";"lkl=vgd 000";"Mineral Physics"
"GeoGuide0136";"GeoGuide0070";"Mineralbildung (Mineralgenese)";"lkl=vge 000";"Mineral Genesis"
"GeoGuide0137";"GeoGuide0070";"Mineralparagenese";"lkl=vgf 000";"Mineral paragenesis"
"GeoGuide0138";"GeoGuide0070";"Spezielle Mineralogie";"lkl=vh 000";"Systematic Mineralogy"
"GeoGuide0139";"GeoGuide0070";"Edelsteinkunde";"lkl=vhd 000";"Gemology"
"GeoGuide0140";"GeoGuide0070";"Technische Mineralogie";"lkl=vi 000";"Technical Mineralogy"
"GeoGuide0071";"GeoGuide0008";"Geochemie";"lkl=vj 000";"Geochemistry"
"GeoGuide0141";"GeoGuide0071";"Analytische Geochemie";"lkl=vja 000";"Analytical Geochemistry"
"GeoGuide0142";"GeoGuide0071";"Geochemie des Erdkörpers";"lkl=vjb 000";"Geochemistry of the Earth"
"GeoGuide0143";"GeoGuide0071";"Aquatische Geochemie";"lkl=vjc 000";"Aquatic Geochemistry"
"GeoGuide0144";"GeoGuide0071";"Geochemie der Atmosphäre";"lkl=vjd 000";"Geochemistry of the Atmosphere"
"GeoGuide0145";"GeoGuide0071";"Organische Geochemie";"lkl=vje 000";"Organic geochemistry"
"GeoGuide0146";"GeoGuide0071";"Umweltgeochemie insgesamt";"lkl=vjf 000";"Environmental geochemistry"
"GeoGuide0147";"GeoGuide0071";"Erde-Kosmos-Beziehungen {Geochemie}";"lkl=vjg 000";"Earth-Cosmos Relations {Geochemistry}"
"GeoGuide0148";"GeoGuide0071";"Geochemische Prozesse, Physikalische Geochemie";"lkl=vjh 000";"Geochemical processes, physical geochemistry"
"GeoGuide0149";"GeoGuide0071";"Geochemische Kreislaufmodelle";"lkl=vji 000";"Geochemical cycles"
"GeoGuide0150";"GeoGuide0071";"Spezielle Geochemie";"lkl=vjj 000";"Element abundance"
"GeoGuide0072";"GeoGuide0008";"Petrologie";"lkl=vk 000";"Petrology"
"GeoGuide1151";"GeoGuide0072";"Allgemeine Petrologie";"lkl=vka 000";"Rock characteristics and properties"
"GeoGuide1152";"GeoGuide0072";"Petrologie der Magmatite";"lkl=vkb 100";"Igneous petrology"
"GeoGuide1153";"GeoGuide0072";"Petrologie der Metamorphite";"lkl=vkb 200";"Metamorphic petrology"
"GeoGuide1154";"GeoGuide0072";"Sedimentologie";"lkl=vkb 300";"Sedimentary petrology"
"GeoGuide1155";"GeoGuide0072";"Petrologie der Meteorite";"lkl=vkb 400";"Meteorites"
"GeoGuide0073";"GeoGuide0008";"Lagerstättenkunde";"lkl=vq 000";"Economic Geology"
"GeoGuide0151";"GeoGuide0073";"Explorations- und Prospektionsmethoden";"lkl=vqa 000";"Methods in exploration and prospection"
"GeoGuide0152";"GeoGuide0073";;"lkl=vqb 000";"Structure of mineral deposits"
"GeoGuide0153";"GeoGuide0073";"Lagerstättengenese";"lkl=vqc 000";"Mineral deposits genesis"
"GeoGuide0154";"GeoGuide0073";"Allgemeine Lagerstättentypen";"lkl=vqd 000";"Mineral deposits types"
"GeoGuide0155";"GeoGuide0073";"Spezielle Lagerstättenkunde";"lkl=vr 000";"Special Geology of Mineral Deposits"
"GeoGuide0156";"GeoGuide0073";"Lagerstättenkunde der Metalle";"lkl=vra 000";"Geology of Ore Deposits"
"GeoGuide0157";"GeoGuide0073";"Industrieminerale, Steine und Erden";"lkl=vrb 000";"Geology of industrial minerals and mass rocks"
"GeoGuide0158";"GeoGuide0073";"Sulfatlagerstätten";"lkl=vrc 000";"Sulphate deposits"
"GeoGuide0159";"GeoGuide0073";"Salzlagerstätten";"lkl=vrd 000";"Salt deposits"
"GeoGuide0160";"GeoGuide0073";"Kohlenwasserstofflagerstätten";"lkl=vre 000";"Petroleum geology"
"GeoGuide0161";"GeoGuide0073";"Kohlenlagerstätten";"lkl=vrf 000";"Coal deposits"
"GeoGuide0162";"GeoGuide0073";"Minerallagerstätten - Regional";"lkl=vt 000";"Regional Mineral Deposits"
"GeoGuide0003";"GeoGuide";"Geophysik";"lkl=tm 000";"Geophysics"
"GeoGuide0020";"GeoGuide0003";;"lkl=toa 000";"Solid earth geophysics"
"GeoGuide0023";"GeoGuide0020";"Periodische Bewegungen der Erde {Geophysik}";"lkl=tob 000";"Periodic Movements of the Earth {Geophysics}"
"GeoGuide0024";"GeoGuide0020";"Entstehung und Entwicklung der Erde {Geophysik}";"lkl=toc 000";"Formation and Develpoment of the Earth {Geophysics}"
"GeoGuide0025";"GeoGuide0020";"Struktur der Erde {Geophysik}";"lkl=tod 000";"Structure of the Earth {Geophysics}"
"GeoGuide0026";"GeoGuide0020";"Physikalisches Verhalten der Erde {Geophysik}";"lkl=toe 000";"Physical Behavior of the Earth {Geophysics}"
"GeoGuide0027";"GeoGuide0020";"Schwerkraft {Geophysik}";"lkl=tof 000";"Gravitation {Geophysics}"
"GeoGuide0028";"GeoGuide0020";"Isostasie {Geophysik}";"lkl=tog 000";"Isostasy {Geophysics}"
"GeoGuide0029";"GeoGuide0020";"Seismologie {Geophysik}";"lkl=toh 000";"Seismology {Geophysics}"
"GeoGuide0030";"GeoGuide0020";"Strahlungsphysik und Radioaktivität der Erde {Geophysik}";"lkl=tom 000";"Radiation Physics and Radioactivity of the Earth {Geophysics}"
"GeoGuide0031";"GeoGuide0020";"Geothermik {Geophysik}";"lkl=too 000";"Geothermics {Geophysics}"
"GeoGuide0032";"GeoGuide0020";"Erdelektrizität {Geophysik}";"lkl=tor 000";"Geoelectrics {Geophysics}"
"GeoGuide0033";"GeoGuide0020";"Erdmagnetismus {Geophysik}";"lkl=tot 000";"Geomagnetism {Geophysics}"
"GeoGuide0034";"GeoGuide0003";"Paläogeophysik {Geophysik}";"lkl=tov 000";"Paleogeophysics {Geophysics}"
"GeoGuide0021";"GeoGuide0020";"Angewandte Geophysik";"lkl=tq 000";"Applied Geophysics"
"GeoGuide0035";"GeoGuide0021";"Gravimetrische Verfahren {Geophysik}";"lkl=tqa 000";"Gravimetric Methods {Geophysics}"
"GeoGuide0036";"GeoGuide0021";"Erdmagnetische Verfahren {Geophysik}";"lkl=tqb 000";"Geomagnetic Methods {Geophysics}"
"GeoGuide0037";"GeoGuide0021";"Seismische Verfahren {Geophysik}";"lkl=tqc 000";"Seismic Methods {Geophysics}"
