PPN;level;GOK;parent;DE;query;EN;
GEOLEO00510;4;GEOLEO00510;GEOLEO00500;Geographische Namenkunde von Kanada;lkl=QBP 510 or ((fbg=DK 801.3*) and (fbg=DK 917.1*));Onomastics of Canada;
GEOLEO00520;4;GEOLEO00520;GEOLEO00500;Geographische Namenkunde der USA;lkl=QBP 520 or ((fbg=DK 801.3*) and (fbg=DK 917.3));Onomastics of USA;
GEOLEO00530;4;GEOLEO00530;GEOLEO00500;Geographische Namenkunde von Mittel- und Südamerika;lkl=QBP 550 or ((fbg=DK 918* or fbg=DK 917*) and (fbg=DK 801.3*));Onomastics of Central and South America;
GEOLEO00540;3;GEOLEO00540;GEOLEO00330;Geographische Namenkunde von Australien/Ozeanien;lkl=QBP 600 or ((fbg=DK 801.3*) and (fbg=DK 919*) not (fbg=DK 919.8*) not (fbg=DK 919.9*));Onomastics of Australia and Oceania {Australasia};
GEOLEO00550;3;GEOLEO00550;GEOLEO00330;Geographische Namenkunde sonstiger Teilregionen;lkl=QBP 900 or ((fbg=DK 91*) not (fbg=DK 910*) not (fbg=DK 911*) not (fbg=DK 912*) and (fbg=DK 801.311*));Onomastics of Other Regions;
GEOLEO00560;2;GEOLEO00560;GEOLEO00020;Physische Geographie;lkl=QD 000 or (fbg=DK 911.2*);Physical Geography;
GEOLEO00570;3;GEOLEO00570;GEOLEO00560;Geomorphologie {Physische Geographie};lkl=QDB 000 or (fbg=DK 551.4 or fbg=DK 550.814);Geomorphology {Physical Geography};
GEOLEO00580;4;GEOLEO00580;GEOLEO00570;Endogene Kräfte {Physische Geographie};lkl=QDB 050 or (fbg=DK 551.2);Endogenous Processes {Physical Geography};
GEOLEO00590;4;GEOLEO00590;GEOLEO00570;Exogene Kräfte {Physische Geographie};lkl=QDB 080 or (fbg=DK 551.3);Exogenous Processes {Physical Geography};
GEOLEO00600;5;GEOLEO00600;GEOLEO00590;Morphogenese {Physische Geographie};lkl=QDB 100 or (fbg=DK 551.4.04*);Morphogenesis {Physical Geography};
GEOLEO00610;6;GEOLEO00610;GEOLEO00600;Morphogenese einzelner Relieftypen {Physische Geographie};lkl=QDB 120 or (fbg=DK 551.4.04*);Morphogenesis of Particular Relief Types {Physical Geography};
GEOLEO00620;6;GEOLEO00620;GEOLEO00600;Morphogenese einzelner Landschaften {Physische Geographie};lkl=QDB 130 or (fbg=DK 551.4.04*);Morphogenesis of Particular Landscapes {Physical Geography};
GEOLEO00630;6;GEOLEO00630;GEOLEO00600;Strukturgeomorphologie;lkl=QDB 140 or (fbg=DK 551.43*);Structural Geomorphology;
GEOLEO00640;6;GEOLEO00640;GEOLEO00600;Klimatische Geomorphologie;lkl=QDB 150 or (fbg=DK 551.435*);Climatic Geomorphology;
GEOLEO00650;6;GEOLEO00650;GEOLEO00600;Anthropogene Geomorphologie;lkl=QDB 160 or (fbg=DK 551.438.5*);Artificial Geomorphology;
GEOLEO00660;6;GEOLEO00660;GEOLEO00600;Sonstiges {Geomorphologie: Morphogenese};lkl=QDB 190 or (fbg=DK 551.4*);Others {Geomorphology: Morphogenesis};
GEOLEO00670;5;GEOLEO00670;GEOLEO00590;Verwitterung {Geomorphologie};lkl=QDB 200 or (fbg=DK 551.435.2* or fbg=DK 551.3.053);Weathering {Geomorphology};
GEOLEO00680;5;GEOLEO00680;GEOLEO00590;Abtragung {Geomorphologie};lkl=QDB 250 or (fbg=DK 551.435* or fbg=DK 551.311);Erosion {Geomorphology};
GEOLEO00690;5;GEOLEO00690;GEOLEO00590;Sedimentation {Geomorphologie};lkl=QDB 300 or (fbg=DK 551.435* or fbg=DK 551.3.051);Sedimentation {Geomorphology};
GEOLEO00700;5;GEOLEO00700;GEOLEO00590;äolische Bildungen und Erscheinungen {Geomorphologie};lkl=QDB 350 or (fbg=DK 551.435.7* or fbg=DK 551.311.3);Eolian Formations and Phenomena {Geomorphology};
GEOLEO00710;5;GEOLEO00710;GEOLEO00590;Geomorphologische Tätigkeit des fließenden Wassers;lkl=QDB 400 or (fbg=DK 551.435.1* or fbg=DK 551.312.*);Fluvial Processes in Geomorphology;
GEOLEO00720;6;GEOLEO00720;GEOLEO00710;Abspülung {Geomorphologie};lkl=QDB 410 or (fbg=DK 551.435.1* or fbg=DK 551.311.2);Run-off {Geomorphology};
GEOLEO00730;6;GEOLEO00730;GEOLEO00710;Fluviatile Erosion {Geomorphologie};lkl=QDB 420 or (fbg=DK 551.435.1* or fbg=DK 551.3.053);Fluvial Erosion {Geomorphology};
GEOLEO00740;6;GEOLEO00740;GEOLEO00710;Talbildung, Talformen, Verlegen der Flüsse {Geomorphologie};lkl=QDB 430 or (fbg=DK 551.435.1* or fbg=DK 551.4.036);Formation of Valleys, Valley Shapes, and Channel Movement {Geomorphology};
GEOLEO00750;6;GEOLEO00750;GEOLEO00710;Fluviatile Sedimentation {Geomorphologie};lkl=QDB 440 or (fbg=DK 551.435.1* or fbg=DK 551.312.2 or fbg=DK 551.312.3);Fluvial Sedimentation {Geomorphology};
