PPN;level;GOK;parent;DE;query;EN;
GEOLEO01490;3;GEOLEO01490;GEOLEO01480;Entwicklung und Stand der Mensch-Umwelt-Forschung;lkl=QEL 100 or (fbg=DK 502.3* or fbg=DK 502.313*);Human-Environmental-Studies {Development and Level};
GEOLEO01500;3;GEOLEO01500;GEOLEO01480;Theorie und Methode der Mensch-Umwelt-Forschung;lkl=QEL 200 or ((fbg=DK 001.8 or fbg=DK 001.5) and (fbg=DK 572.9*));Human-Environmental-Studies {Theory and Methology};
GEOLEO01510;3;GEOLEO01510;GEOLEO01480;Teilfragen;lkl=QEL 250 or (fbg=DK 911.3*);Particular Questions of Human Ecology;
GEOLEO01520;4;GEOLEO01520;GEOLEO01510;Tragfähigkeit der Erde {Physische Anthropogeographie};lkl=QEL 300 or (fbg=DK 502.5* or fbg=DK 504.05*);Earth's Carrying Capacity {Human Ecology};
GEOLEO01530;4;GEOLEO01530;GEOLEO01510;Grenzen des Wachstums {Physische Anthropogeographie};lkl=QEL 400 or (fbg=DK 312.8 or fbg=QT 000);Limits to Growth {Human Ecology};
GEOLEO01540;4;GEOLEO01540;GEOLEO01510;Weltbevölkerungsproblematik {Physische Anthropogeographie};lkl=QEL 500 or (fbg=DK 312.8);World Population Problems {Human Ecology};
GEOLEO01550;4;GEOLEO01550;GEOLEO01510;Welternährungsproblem {Physische Anthropogeographie};lkl=QEL 600 or ((fbg=DK 612.39) and (fbg=DK 911*));World Food Problem {Human Ecology};
GEOLEO01560;4;GEOLEO01560;GEOLEO01510;Teilfragen der Humanökologie;lkl=QEL 800 or ((fbg=DK 612.39) and (fbg=DK 911*));Particular Questions of Human Ecology;
GEOLEO01570;2;GEOLEO01570;GEOLEO00020;Siedlungsgeographie;lkl=QEN 000 or (fbg=DK 911.37*);Urban Geography, Settlement Geography;
GEOLEO01580;3;GEOLEO01580;GEOLEO01570;Entwicklung der Siedlungsgeographie;lkl=QEN 100 or ((fbg=DK 911.37*) and (fbg=DK 93/99));Development of Urban Geography;
GEOLEO01590;3;GEOLEO01590;GEOLEO01570;Siedlungsraum und Siedlungsverteilung {Siedlungsgeographie};lkl=QEN 120 or (fbg=DK 911.372*);Settlement Space and Distribution of Settlements {Urban Geography};
GEOLEO01600;3;GEOLEO01600;GEOLEO01570;Gemeindetypisierung {Siedlungsgeographie};lkl=QEN 140 or (fbg=DK 911.372*);Community Typology {Urban Geography};
GEOLEO01610;3;GEOLEO01610;GEOLEO01570;Ländlicher Raum {Siedlungsgeographie};lkl=QEN 150 or (fbg=DK 911.373*);Country Setting, Rural Area {Urban Geography};
GEOLEO01620;3;GEOLEO01620;GEOLEO01570;Ländliche Siedlungen {Siedlungsgeographie};lkl=QEN 200 or (fbg=DK 911.373*);Rural Settlement {Urban Geography};
GEOLEO01630;4;GEOLEO01630;GEOLEO01620;Haus- und Hofformen {Siedlungsgeographie};lkl=QEN 210 or (fbg=DK 911.373*);House and Farm Types {Urban Geography};
GEOLEO01640;4;GEOLEO01640;GEOLEO01620;Dorf- und Flurformen {Siedlungsgeographie};lkl=QEN 220 or (fbg=DK 911.373*);Village and Fields Types {Urban Geography};
GEOLEO01650;4;GEOLEO01650;GEOLEO01620;Strukturveränderungen ländlicher Siedlungen {Siedlungsgeographie};lkl=QEN 230 or (fbg=DK 911.373*);Structural Changes in Rural Settlements {Urban Geography};
GEOLEO01660;4;GEOLEO01660;GEOLEO01620;Ländliche Planung {Flurbereinigung, Dorfentwicklung}: {Siedlungsgeographie};lkl=QEN 240 or (fbg=DK 911.373*);Rural Planning {Village Development, Land Consolidation} : {Urban Geography};
GEOLEO01670;3;GEOLEO01670;GEOLEO01570;Zwischen Stadt und Land stehende Siedlungen {Siedlungsgeographie};lkl=QEN 300 or (fbg=DK 911.374*);Communities between Cities and Rural Communities {Quasi-Towns}: {Urban Geography};
GEOLEO01680;3;GEOLEO01680;GEOLEO01570;Stadtgeographie;lkl=QEN 400 or (fbg=DK 911.375*);Urban Geography {Cities};
GEOLEO01690;4;GEOLEO01690;GEOLEO01680;Geographischer Stadtbegriff;lkl=QEN 410 or ((fbg=DK 911.375*) and (fbg=DK 801.3*));Geographical City Concept, City Idea {Urban Geography};
