HistGuide3200;3;HistGuide3200;HistGuide3050;Gesellschaft, Wirtschaft, Kultur ;PVG 3? or PVG 4? or PVG 5?;Society, Economy, Culture 
HistGuide3250;3;HistGuide3250;HistGuide3050;Regional- und Lokalgeschichte ;PVG 6? or PVG 7?;Regional and local studies 
HistGuide3300;3;HistGuide3300;HistGuide3050;Personen ;PVG 8?;Biographies 
HistGuide3350;1;HistGuide3350;HistGuide0000;USA;PVK? or 973?;United States of America 
HistGuide3400;2;HistGuide3400;HistGuide3350;Quellen ;PVK 1?;Sources
HistGuide3450;2;HistGuide3450;HistGuide3350;Politische Geschichte ;PVK 2?;History and Politics
HistGuide3500;2;HistGuide3500;HistGuide3350;Gesellschaft ;PVK 3?;Society
HistGuide3550;2;HistGuide3550;HistGuide3350;Wirtschaft;PVK 4?;Economy
HistGuide3600;2;HistGuide3600;HistGuide3350;Kultur ;PVK 5?;Culture 
HistGuide3650;2;HistGuide3650;HistGuide3350;Regional- und Lokalgeschichte ;PVK 6? or PVK 7?;Regional and local studies 
HistGuide3700;2;HistGuide3700;HistGuide3350;Personen ;PVK 8?;Biographies 
HistGuide3750;2;HistGuide3750;HistGuide3350;Frühe Neuzeit (bis 1776) ;PVL? or 973.1? or 973.2?;Early Modern Period (until 1776)
HistGuide3800;3;HistGuide3800;HistGuide3750;Quellen ;PVL 1?;Sources
HistGuide3850;3;HistGuide3850;HistGuide3750;Politische Geschichte ;PVL 2?;History and Politics
HistGuide3900;3;HistGuide3900;HistGuide3750;Gesellschaft ;PVL 3?;Society
HistGuide3950;3;HistGuide3950;HistGuide3750;Wirtschaft;PVL 4?;Economy
HistGuide4000;3;HistGuide4000;HistGuide3750;Kultur ;PVL 5?;Culture 
HistGuide4050;3;HistGuide4050;HistGuide3750;Regional- und Lokalgeschichte ;PVL 6? or PVL 7? or (974? or 975? and t1:0903?);Regional and local studies 
HistGuide4100;3;HistGuide4100;HistGuide3750;Personen ;PVL 8?;Biographies 
HistGuide4150;2;HistGuide4150;HistGuide3350;19. Jahrhundert (1776-1918) ;PVM? Or (973? and (t1:0934 or t1:09041 or t1:09042));19th Century (1776-1918)
HistGuide4200;3;HistGuide4200;HistGuide4100;Quellen ;PVM 1?;Sources
HistGuide4250;3;HistGuide4250;HistGuide4100;Politische Geschichte ;PVM 2?;History and Politics
HistGuide4300;3;HistGuide4300;HistGuide4100;Gesellschaft ;PVM 3?;Society
HistGuide4350;3;HistGuide4350;HistGuide4100;Wirtschaft;PVM 4?;Economy
HistGuide4400;3;HistGuide4400;HistGuide4100;Kultur ;PVM 5?;Culture 
HistGuide4450;3;HistGuide4450;HistGuide4100;Regional- und Lokalgeschichte ;PVM 6? or PVM 7?;Regional and local studies 
HistGuide4500;3;HistGuide4500;HistGuide4100;Personen ;PVM 8?;Biographies 
HistGuide4550;2;HistGuide4550;HistGuide3350;20. Jahrhundert ;PVN? or 973.9;20th Century 
HistGuide4600;3;HistGuide4600;HistGuide4550;Quellen ;PVN 1?;Sources
HistGuide4650;3;HistGuide4650;HistGuide4550;Politische Geschichte ;PVN 2?;History and Politics
HistGuide4700;3;HistGuide4700;HistGuide4550;Gesellschaft ;PVN 3?;Society
HistGuide4750;3;HistGuide4750;HistGuide4550;Wirtschaft;PVN 4?;Economy
HistGuide4800;3;HistGuide4800;HistGuide4550;Kultur ;PVN 5?;Culture 
HistGuide4850;3;HistGuide4850;HistGuide4550;Regional- und Lokalgeschichte ;PVN 6? or PVN 7?;Regional and local studies 
HistGuide4900;3;HistGuide4900;HistGuide4550;Personen ;PVN 8?;Biographies 
HistGuide4950;2;HistGuide4950;HistGuide3350;1918-1945;PVO? or 973.91?;1918-1945
HistGuide5000;3;HistGuide5000;HistGuide4900;Quellen ;PVO 1?;Sources
HistGuide5050;3;HistGuide5050;HistGuide4900;Politische Geschichte ;PVO 2?;History and Politics
HistGuide5100;3;HistGuide5100;HistGuide4900;Gesellschaft ;PVO 3?;Society
HistGuide5150;3;HistGuide5150;HistGuide4900;Wirtschaft;PVO 4?;Economy
HistGuide5200;3;HistGuide5200;HistGuide4900;Kultur ;PVO 5?;Culture 
HistGuide5250;3;HistGuide5250;HistGuide4900;Regional- und Lokalgeschichte ;PVO 6? or PVO 7?;Regional and local studies 
HistGuide5300;3;HistGuide5300;HistGuide4900;Personen ;PVO 8?;Biographies 
HistGuide5350;2;HistGuide5350;HistGuide3350;1945-;PVP? or 973.92? or 973.93?;1945-
HistGuide5400;3;HistGuide5400;HistGuide5300;Quellen ;PVP 1?;Sources
HistGuide5450;3;HistGuide5450;HistGuide5300;Politische Geschichte ;PVP 2?;History and Politics
HistGuide5500;3;HistGuide5500;HistGuide5300;Gesellschaft ;PVP 3?;Society
HistGuide5550;3;HistGuide5550;HistGuide5300;Wirtschaft;PVP 4?;Economy
HistGuide5600;3;HistGuide5600;HistGuide5300;Kultur ;PVP 5?;Culture 
HistGuide5650;3;HistGuide5650;HistGuide5300;Regional- und Lokalgeschichte ;PVP 6? or PVP 7?;Regional and local studies 
